Nome,Região,Descrição
Maior lago,Mar Cáspio,"O Mar Cáspio é o maior lago do mundo porque é um corpo de água fechado, sem ligação com oceanos, e possui cerca de 371 mil km². Seu tamanho e salinidade fizeram com que fosse historicamente chamado de mar."
Explorações de David Livingstone,África central,"David Livingstone explorou o interior da África no século XIX, sendo um dos primeiros europeus a registrar o curso do rio Zambeze. Suas expedições ajudaram a mapear a África central para a geografia europeia."
Tiranossauro Rex,EUA e Canadá,Fósseis de Tiranossauro Rex foram encontrados principalmente nos Estados Unidos e no Canadá. Isso indica que ele dominava os ecossistemas da América do Norte no fim do período Cretáceo.
Champagne Pool,Nova Zelandia ,A Champagne Pool recebe esse nome devido à liberação constante de dióxido de carbono que forma bolhas na superfície. Sua coloração alaranjada vem de arsênio e antimônio dissolvidos na água quente.
Grand Slam,"Austrália, NY, Winbledon e Roland Garro","Grand Slam refere-se aos quatro principais torneios do tênis: Australian Open, Roland Garros, Wimbledon e US Open. São eles que definem o mais alto nível de prestígio do esporte."
Edifício mais comprido,China,"O edifício mais comprido do mundo está na China e possui mais de 1,6 km de extensão contínua. Seu recorde se baseia no comprimento horizontal, não na altura."
Maior monolito transportado pelo homem,Rússia,"O maior monolito transportado pelo homem é a Pedra do Trovão, na Rússia, usada como base da estátua de Pedro, o Grande. Ela foi movida no século XVIII com sistemas de roletes e força humana."
Rua habitada mais íngreme,Nova Zelândia,"A rua habitada mais íngreme do mundo é Baldwin Street, na Nova Zelândia, com inclinação superior a 30%. Mesmo com o declive extremo, ela possui residências ao longo de todo o percurso."
Loja de departamento GUM,Rússia,"A loja de departamento GUM, em Moscou, ocupa um edifício histórico do século XIX na Praça Vermelha. Ela se tornou um marco comercial e arquitetônico da Rússia."
Origem da maior flor,Indonésia,"A maior flor do mundo, a Rafflesia arnoldii, é nativa das florestas da Indonésia. Ela pode ultrapassar um metro de diâmetro e não possui caule, folhas ou raízes."
Estação de metrô mais profunda,Leste Europeu,"A estação de metrô mais profunda do mundo é a Arsenalna, em Kiev, com mais de 100 metros de profundidade. Ela foi construída assim para funcionar também como abrigo em caso de ataques."
Maior amplitude das Marés,Canadá,"A maior amplitude das marés ocorre na Baía de Fundy, no Canadá, onde a diferença entre maré alta e baixa pode ultrapassar 16 metros. O formato da baía amplifica o efeito da gravidade lunar."
Rio mais extenso,Rio Nilo,"O Rio Nilo é considerado o mais extenso do mundo, com cerca de 6.650 km de comprimento. Ele atravessa o nordeste da África e foi essencial para o Egito Antigo."
Sala de Âmbar,Rússia,"A Sala de Âmbar ficava no Palácio de Catarina, na Rússia, e era revestida por painéis de âmbar e ouro. Ela foi saqueada pelos nazistas durante a Segunda Guerra Mundial e nunca foi recuperada."
Parque Nacional Kruger,África do Sul,"O Parque Nacional Kruger, na África do Sul, abriga os chamados “Big Five” da fauna africana. Ele é um dos maiores parques de conservação do continente."
Diojeridu,Austrália,O didgeridoo é um instrumento de sopro tradicional dos aborígenes australianos feito de troncos ocos naturalmente por cupins. Ele produz som contínuo por meio da respiração circular.
Maior Roda Gigante,Las Vegas,"A maior roda-gigante do mundo é a High Roller, em Las Vegas, com cerca de 167 metros de altura. Ela foi projetada para observação panorâmica, não para movimentos rápidos."
Maior extensão do Império Romano,"Europa, Turquia e Norte da África","O Império Romano atingiu sua maior extensão territorial no século II d.C., durante o reinado de Trajano. Nesse período, controlava áreas da Europa, Norte da África e Oriente Médio."
Ponte Akashi-Kaiky,Japão,"A Ponte Akashi-Kaikyō, no Japão, possui o maior vão central entre pontes suspensas do mundo. Ela liga as ilhas de Honshu e Awaji e foi construída para resistir a terremotos."
Temperatura mais baixa,Antártida,"A menor temperatura já registrada na Terra foi de aproximadamente –89 °C na estação Vostok, na Antártida. O recorde ocorreu devido à combinação de altitude elevada e ar extremamente seco."
Maior felino vivo,China e Sibéria,"O maior felino vivo é o tigre, encontrado principalmente na Sibéria e em regiões da China. Um macho pode ultrapassar 300 kg e medir mais de 3 metros de comprimento."
Ilhas Sandwich do Sul,Sul do Atlântico,As Ilhas Sandwich do Sul formam um arquipélago vulcânico localizado no sul do oceano Atlântico. Elas foram descobertas em 1775 e permanecem praticamente desabitadas devido ao clima extremo.
Projeto Delta,Holanda,O Projeto Delta foi iniciado na Holanda após a enchente de 1953 que matou cerca de 1.800 pessoas. Ele consiste em um sistema de diques e barreiras com dezenas de quilômetros para conter o avanço do mar.
Zoológico mais antigo em atividade,Áustria,"O zoológico mais antigo em atividade é o Zoológico de Schönbrunn, em Viena, inaugurado em 1752. Ele funciona continuamente há mais de 270 anos."
Parque Nacional mais antigo,Estados Unidos,"O Parque Nacional de Yellowstone, criado em 1872, é considerado o mais antigo do mundo. Ele possui cerca de 8.983 km² de área protegida."
"Transrapid, veículo mais rápido que existe",China,O Transrapid é um trem de levitação magnética que atingiu velocidades superiores a 430 km/h na China. Ele opera comercialmente em Xangai desde 2004.
Maior número de turistas,França,"A França é o país que mais recebe turistas internacionais, com mais de 80 milhões de visitantes por ano. Esse número se mantém alto devido ao patrimônio histórico e à infraestrutura turística."
Marco Polo,1271,"Marco Polo iniciou sua viagem para o Oriente em 1271, partindo de Veneza. Ele levou cerca de 24 anos para retornar à Europa."
Telescópio com maior espelho,Atlântico,"O telescópio com maior espelho individual é o Gran Telescopio Canarias, com 10,4 metros de diâmetro. Ele está localizado nas Ilhas Canárias, no oceano Atlântico."
Cidade habitada há mais tempo,Damasco na Síria,"Damasco, na Síria, é considerada a cidade continuamente habitada mais antiga do mundo, com registros que ultrapassam 11 mil anos. Ela já foi capital de impérios antigos."
Vulcão mais alto em terra firme,Ojos del Salado(Argentina e Chile),"O Ojos del Salado é o vulcão mais alto em terra firme, com aproximadamente 6.893 metros de altitude. Ele está localizado na fronteira entre Argentina e Chile."
Maior sinagoga,Arábia,"A maior sinagoga do mundo é a Sinagoga de Belz, localizada em Jerusalém. Ela comporta cerca de 10 mil pessoas."
Primeiro monotrilho suspenso,Alemanha,"O primeiro monotrilho suspenso foi inaugurado na Alemanha em 1901, na cidade de Wuppertal. Ele permanece em funcionamento até hoje."
Baobá,África subsaariana,O baobá é uma árvore típica da África subsaariana que pode viver mais de 2 mil anos. Alguns exemplares atingem mais de 25 metros de altura e troncos com dezenas de metros de circunferência.
Reator nuclear com maior produção,França,"O reator nuclear com maior produção está na usina de Gravelines, na França. Cada reator pode gerar mais de 900 megawatts de energia elétrica."
Maior rede de fiordes,Groelândia,"A Groenlândia abriga a maior rede de fiordes do mundo, com milhares de quilômetros de costas recortadas. Esses fiordes foram formados por antigas geleiras."
Moa Gigante,Nova Zelândia,"O moa gigante era uma ave não voadora da Nova Zelândia que podia ultrapassar 3,6 metros de altura. Ele foi extinto por volta do século XV."
Mar Negro,Europa e Ásia,O Mar Negro está localizado entre a Europa Oriental e a Ásia Ocidental e possui cerca de 436 mil km² de área. Ele se conecta ao Mediterrâneo por meio de estreitos naturais.
Último mamute,Ártico,"Os últimos mamutes viveram em ilhas do Ártico, como a Ilha Wrangel. Evidências indicam que eles sobreviveram até cerca de 4.000 anos atrás."
Madre Teresa de Calcutá,"Irlanda, Índia e Macedônia","Madre Teresa nasceu em 1910 na atual Macedônia do Norte, atuou principalmente na Índia e recebeu o Nobel da Paz em 1979. Ela fundou a ordem das Missionárias da Caridade."
Gran Agujero Azul,América Central,"O Grande Buraco Azul possui cerca de 300 metros de diâmetro e mais de 120 metros de profundidade. Ele está localizado próximo à costa de Belize, na América Central."
Praça de São Marcos,Itália,"A Praça de São Marcos, em Veneza, começou a ser formada no século IX e atingiu seu formato atual no século XII. Ela mede cerca de 175 metros de comprimento e é o principal espaço público da cidade."
Ponte viária mais comprida,Tailândia,"A ponte viária mais comprida do mundo é a Bang Na Expressway, na Tailândia, com cerca de 54 km de extensão. Ela foi inaugurada em 2000 para aliviar o trânsito de Bangkok."
Anfitrião do Primeiro Mundial Feminino de Futebol,China,"A China foi o país anfitrião do primeiro Mundial Feminino de Futebol, realizado em 1991. O torneio contou com 12 seleções e marcou a estreia oficial da competição."
Maior deserto de gipsita,Estados Unidos,"O maior deserto de gipsita do mundo é o White Sands, nos Estados Unidos. Ele possui cerca de 712 km² cobertos por dunas de gesso branco."
Estrada mais perigosa,Bolívia,"A Estrada da Morte, na Bolívia, tem cerca de 64 km e liga La Paz à região de Yungas. Ela ficou famosa pelo alto número de acidentes antes da construção de rotas alternativas."
Serpente mais comprida,Indonésia,"A serpente mais comprida do mundo é a píton-reticulada, encontrada na Indonésia. Exemplares documentados ultrapassam 7 metros de comprimento."
Câmara de Sarawak,Malásia,"A Câmara de Sarawak, na Malásia, é considerada a maior caverna conhecida do mundo em volume. Ela possui espaço suficiente para abrigar dezenas de aviões comerciais."
Manancial mais profundo,Caribe,"O manancial mais profundo conhecido é o Blue Hole de Dean, no Caribe, com cerca de 202 metros de profundidade. Ele está localizado nas Bahamas."
Cidade com o nome mais extenso,Bangock,"A cidade com o nome mais extenso é Bangkok, cujo nome oficial em tailandês possui mais de 160 letras. Ele é considerado o topônimo mais longo do mundo."
Petrolífera de maior profundidade,Golfo do México(Caribe),"A extração petrolífera mais profunda ocorre no Golfo do México, em lâminas d’água superiores a 2.000 metros. Algumas perfurações ultrapassam 10 km abaixo do leito marinho."
Mina mais profunda,África do Sul,"A mina mais profunda do mundo é a Mponeng, na África do Sul, que atinge cerca de 4 km de profundidade. As temperaturas internas podem ultrapassar 60 °C."
Parque Nacional Kakadu,Austrália,"O Parque Nacional Kakadu, na Austrália, possui cerca de 19.800 km² de área protegida. Ele foi criado em 1981 e é Patrimônio Mundial da UNESCO."
Maior velocidade de vento,Estados Unidos,"A maior velocidade de vento já registrada ocorreu em 1996, no Monte Washington, nos Estados Unidos. As rajadas atingiram cerca de 408 km/h."
Bambu Verde,China,"O bambu verde, amplamente cultivado na China, pode crescer mais de 1 metro por dia. Algumas espécies atingem até 30 metros de altura."
Lago Tanganica,Tanzânia,"O Lago Tanganica, na África Oriental, possui cerca de 673 km de comprimento. Ele é o segundo lago mais profundo do mundo, com aproximadamente 1.470 metros."
Golden Gate Bridge,São Francisco,A Golden Gate Bridge foi inaugurada em 1937 e possui um vão principal de 1.280 metros. Ela conecta São Francisco ao condado de Marin.
Petra,Arábia,"Petra, localizada na atual Jordânia, foi fundada por volta do século IV a.C. A cidade é famosa por suas construções esculpidas diretamente na rocha."
Primeiro salto de Paraquedas de um Vôo,Estados Unidos,"O primeiro salto de paraquedas a partir de um avião ocorreu em 1912, nos Estados Unidos. O feito foi realizado por Albert Berry."
Maior baleia,Até 33m,"A maior baleia do mundo é a baleia-azul, que pode atingir até 33 metros de comprimento. Ela pode pesar mais de 180 toneladas."
Correios mais antigo,Reino Unido,"O serviço de correios mais antigo ainda em funcionamento é o do Reino Unido, criado em 1516. Ele foi estabelecido durante o reinado de Henrique VIII."
Metrô mais comprido,China,"O metrô mais comprido do mundo é o de Xangai, na China, com mais de 800 km de trilhos. Ele atende dezenas de milhões de passageiros por dia."
Bungle Bungle,Austrália,"Bungle Bungle é uma formação rochosa no Parque Nacional Purnululu, na Austrália, com domos de arenito datados de cerca de 350 milhões de anos. As estruturas atingem até 250 metros de altura."
Maior produção fotovoltaica,Alemanha,"A Alemanha liderou a produção fotovoltaica mundial por vários anos a partir da década de 2010. Em 2022, sua capacidade instalada ultrapassou 60 gigawatts."
Cordilheira mais comprida,Atlântico,"A cordilheira mais comprida do mundo é a dorsal mesoatlântica, localizada no fundo do oceano Atlântico. Ela possui cerca de 65 mil km de extensão."
Torre de Madeira mais alta,Polônia,"A torre de madeira mais alta do mundo é a torre Mjøstårnet, na Polônia, com aproximadamente 85 metros de altura. Ela foi concluída em 2019."
Chaminé mais alta,Cazaquistão,A chaminé mais alta do mundo está no Cazaquistão e mede cerca de 419 metros de altura. Ela pertence a uma antiga usina termoelétrica.
Bolsa de Valores,Bélgica,"A Bolsa de Valores de Bruxelas, na Bélgica, foi fundada em 1801. Ela desempenhou papel central no desenvolvimento financeiro europeu do século XIX."
Maior número de terremotos,Japão,O Japão registra o maior número de terremotos por ano devido à sua localização sobre quatro placas tectônicas. Estima-se que ocorram mais de 1.500 tremores anuais perceptíveis.
Maior flor individual,Indonésia e Malásia,"A maior flor individual do mundo é a Rafflesia arnoldii, encontrada na Indonésia e Malásia. Ela pode atingir mais de 1 metro de diâmetro e pesar até 11 kg."
Maior ilha vulcânica,Islândia,"A Islândia é a maior ilha vulcânica do mundo, com cerca de 103 mil km². Grande parte de seu território foi formada por atividade vulcânica recente."
Elevador mais rápido,Taiwan,"O elevador mais rápido do mundo está em Taipei 101, em Taiwan. Ele atinge cerca de 60 km/h, percorrendo mais de 380 metros em menos de 40 segundos."
Sede da WWF,Suíça,"A sede da WWF está localizada em Gland, na Suíça. A organização foi fundada em 1961 e atua em mais de 100 países."
Sede da OCDE,França,"A sede da OCDE fica em Paris, na França. A organização foi criada em 1961 para promover políticas econômicas entre países membros."
Região com menos precipitação,Antártida,"A Antártida é a região com menor precipitação do planeta, com média anual inferior a 50 mm. Grande parte do continente é classificada como deserto polar."
Montanha russa mais rápida,Abu Dabhi,"A montanha-russa mais rápida do mundo é a Formula Rossa, em Abu Dhabi. Ela atinge até 240 km/h em menos de 5 segundos."
Maior ilha criada pelo homem,Quebec,"A maior ilha criada pelo homem é Île Notre-Dame, em Quebec, com cerca de 2 km². Ela foi construída na década de 1960 para a Expo 67."
Lago Rosa,Austrália,"O Lago Rosa, na Austrália, deve sua coloração à presença de algas e bactérias produtoras de pigmentos. A intensidade da cor varia conforme salinidade e temperatura."
Torre de radiocomunicação mais alta,Japão,"A torre de radiocomunicação mais alta do mundo é a Tokyo Skytree, no Japão, com 634 metros de altura. Ela foi inaugurada em 2012."
Menor igreja,Nova York,"A menor igreja do mundo fica em Nova York e mede cerca de 3,6 metros por 1,8 metro. Ela foi construída como espaço simbólico de oração."
Gêiser Fly,Estados Unidos,"O Gêiser Fly, nos Estados Unidos, surgiu acidentalmente em 1964 após uma perfuração geotérmica. Ele atinge até 1,5 metro de altura e cresce continuamente por deposição mineral."
Baía de Ha Long,Vietnã,"A Baía de Ha Long, no Vietnã, possui cerca de 1.600 ilhas e ilhotas calcárias. Ela foi reconhecida como Patrimônio Mundial da UNESCO em 1994."
Túnel ferroviário mais longo,Japão,"O túnel ferroviário mais longo do Japão é o Túnel Seikan, com aproximadamente 53,8 km. Ele conecta as ilhas de Honshu e Hokkaido."
