Nome,Região,Descrição
Torre Petronas,Malásia,"As Torres Petronas, na Malásia, foram concluídas em 1998 e possuem 452 metros de altura. Elas foram os edifícios mais altos do mundo entre 1998 e 2004."
Maior lago debaixo de uma geleira,Antártida,O Lago Vostok é o maior lago subglacial conhecido e está localizado sob a geleira antártica. Ele possui cerca de 250 km de comprimento e está a quase 4 km abaixo do gelo.
Maior Sumidouro,Glory Hole(Califórnia),"O Glory Hole, na Califórnia, é um sumidouro artificial que funciona como vertedouro da Represa de Monticello. Ele tem cerca de 22 metros de diâmetro e foi concluído em 1957."
Barragem de Nurek,Tajiquistão,"A Barragem de Nurek, no Tajiquistão, possui cerca de 300 metros de altura. Concluída em 1980, ela foi a mais alta do mundo por décadas."
Tsunami mais alto,Alasca,"O tsunami mais alto já registrado ocorreu no Alasca em 1958, na Baía de Lituya. A onda atingiu aproximadamente 524 metros de altura devido a um deslizamento de terra."
Mirante de Pyramidenkogel,Áustria,"O mirante de Pyramidenkogel, na Áustria, tem 100 metros de altura e é a torre de observação em madeira mais alta do mundo. Ele foi inaugurado em 2013."
Países do G7,"EUA, Europa e Japão","O G7 é formado por sete das maiores economias industrializadas do mundo, criado em 1975. O grupo inclui Estados Unidos, Japão, Alemanha, França, Reino Unido, Itália e Canadá."
Colônia Clonal Pando,Estados Unidos,"A colônia clonal Pando, nos Estados Unidos, ocupa cerca de 43 hectares e é composta por aproximadamente 47 mil árvores geneticamente idênticas. Ela é considerada um dos organismos vivos mais antigos, com até 80 mil anos."
Monte Olga,Austrália,"O Monte Olga, também conhecido como Kata Tjuta, está localizado na Austrália e atinge cerca de 1.066 metros de altitude. Ele faz parte de um conjunto de formações rochosas sagradas para os povos aborígenes."
Maior país sem litoral oceânico,Cazaquistão,"O Cazaquistão é o maior país do mundo sem acesso direto a oceanos. Ele possui uma área superior a 2,7 milhões de km²."
Maior central hidroelétrica,China,"A Usina das Três Gargantas, na China, é a maior central hidrelétrica do mundo, com capacidade instalada de cerca de 22.500 MW. Ela foi totalmente concluída em 2012."
Viagem de Roald Amundsen,"Ártico, Canadá e Rússia","Roald Amundsen liderou expedições ao Ártico entre 1903 e 1906, atravessando a Passagem do Noroeste entre Canadá e Rússia. Ele também foi o primeiro a alcançar o Polo Sul em 1911."
Hotel com mais quartos,Las Vegas,"O hotel com mais quartos do mundo é o MGM Grand, em Las Vegas, com cerca de 6.800 quartos. Ele foi inaugurado em 1993."
Jogo de mesa mais antigo,Egito(jogo chamado Senet),"O jogo de mesa mais antigo conhecido é o Senet, originário do Egito Antigo por volta de 3.100 a.C. Ele era associado a crenças religiosas sobre a vida após a morte."
Países de língua espanhola,23 países,"Atualmente existem 23 países onde o espanhol é língua oficial. A maioria está concentrada na América Latina, além da Espanha."
Linha ferroviária mais comprida,Rússia,"A linha ferroviária mais longa do mundo é a Transiberiana, na Rússia, com cerca de 9.289 km de extensão. Ela liga Moscou ao extremo leste russo."
Maior proporção de energia nuclear,França,"A França possui a maior proporção de energia nuclear em sua matriz elétrica, com cerca de 70%. Esse modelo foi adotado principalmente após a crise do petróleo dos anos 1970."
Origem do Yeti,Himalaia(Tibet),"O mito do Yeti tem origem nas regiões do Himalaia, especialmente no Tibete e no Nepal. Relatos locais descrevem a criatura há séculos."
Túnel de Laerdal,Noruega,"O Túnel de Laerdal, na Noruega, é o túnel rodoviário mais longo do mundo, com cerca de 24,5 km. Ele foi inaugurado em 2000."
Galápagos,Equador,As Ilhas Galápagos pertencem ao Equador e estão localizadas a cerca de 1.000 km da costa. Elas foram fundamentais para os estudos de Charles Darwin sobre evolução.
Expedição Kon-Tiki,Peru à Polinésia,"A Expedição Kon-Tiki ocorreu em 1947, quando Thor Heyerdahl navegou do Peru à Polinésia. A viagem demonstrou a possibilidade de travessias oceânicas com tecnologia primitiva."
Coca,Andes,A planta da coca é originária da região dos Andes e é cultivada há pelo menos 8.000 anos. Ela foi tradicionalmente usada por povos andinos para fins medicinais e rituais.
Uro,"Norte da África, Europa e Ásia","Os uros são um povo antigo cujos vestígios históricos se espalham pelo Norte da África, Europa e Ásia. Eles são associados a grupos pré-históricos que viveram antes de grandes civilizações conhecidas."
Maior praia de areia,Brasil,"A maior praia de areia contínua do mundo é a Praia do Cassino, no Brasil, com cerca de 240 km de extensão. Ela está localizada no litoral do Rio Grande do Sul."
Maior porto marítimo,China,"O maior porto marítimo do mundo é o de Xangai, na China. Ele movimenta mais de 45 milhões de contêineres por ano."
Descobrimento da América,4 expedições em 1492,"Cristóvão Colombo realizou quatro viagens à América, iniciadas em 1492. Essas expedições marcaram o contato permanente entre Europa e o continente americano."
Qumrán,Israel,Qumrán é um sítio arqueológico em Israel conhecido pela descoberta dos Manuscritos do Mar Morto em 1947. Os textos datam de aproximadamente 250 a.C. a 70 d.C.
Maior consumo de carne,Estados Unidos,"Os Estados Unidos lideram o consumo mundial de carne, com média superior a 100 kg por pessoa ao ano. Esse índice é influenciado por hábitos alimentares e produção em larga escala."
Rub' Al-Khali,Arábia,"Rub' Al-Khali é o maior deserto contínuo de areia do mundo, com cerca de 650 mil km². Ele ocupa grande parte da Península Arábica."
Dodô,Ilhas do Oceano Índico,"O dodô era uma ave não voadora endêmica das Ilhas Maurício, no Oceano Índico. Ele foi extinto no final do século XVII após a chegada de humanos."
Atol de Bikini,Micronésia,"O Atol de Bikini, na Micronésia, foi usado para testes nucleares entre 1946 e 1958. Ao todo, 23 explosões foram realizadas na região."
Francês como língua oficial,32 países,O francês é língua oficial em cerca de 32 países distribuídos por vários continentes. Essa expansão está ligada ao passado colonial da França.
Nelson Mandela,27 anos preso,"Nelson Mandela passou 27 anos preso, entre 1962 e 1990, durante o regime do apartheid na África do Sul. Ele se tornou presidente do país quatro anos após sua libertação."
Viagem de Charles Darwin,1831,Charles Darwin iniciou sua viagem a bordo do HMS Beagle em 1831. A expedição durou quase cinco anos e foi fundamental para a teoria da evolução.
Heligolândia,Alemanha,Heligolândia é um pequeno arquipélago alemão no Mar do Norte. Ele possui importância estratégica histórica e área aproximada de 1 km².
Lago Superior,Canadá e Estados Unidos,"O Lago Superior é o maior lago de água doce do mundo em área, com cerca de 82.100 km². Ele é compartilhado por Canadá e Estados Unidos."
Calçada do Gigante,Irlanda do Norte,"A Calçada do Gigante, na Irlanda do Norte, é formada por cerca de 40 mil colunas de basalto. Essas formações surgiram após atividade vulcânica há cerca de 60 milhões de anos."
Edifício mais alto,Arábia,"O edifício mais alto do mundo é o Burj Khalifa, na Arábia Saudita, com 828 metros de altura. Ele foi inaugurado em 2010."
As 7 maravilhas do mundo moderno,"México, China, Brasil, Coliseu, Machu Picchu, Petra e Taj Mahal","As Sete Maravilhas do Mundo Moderno foram definidas em 2007 por votação internacional. Elas estão distribuídas em vários países, incluindo México, China, Brasil, Itália, Peru, Jordânia e Índia."
Fernão Magalhães,1519,Fernão de Magalhães iniciou sua expedição de circum-navegação em 1519. A viagem comprovou na prática que a Terra podia ser contornada por mar.
Pirâmide de Cholula,México,"A Pirâmide de Cholula, no México, é a maior pirâmide do mundo em volume. Ela possui cerca de 450 metros de largura na base."
Monte Ararat,Turquia,"O Monte Ararat, na Turquia, possui aproximadamente 5.137 metros de altitude. Ele é tradicionalmente associado à narrativa bíblica da Arca de Noé."
Ponto mais fundo do oceano,Micronésia,"O ponto mais profundo do oceano é a Fossa das Marianas, localizada na Micronésia. A profundidade máxima registrada é de aproximadamente 10.935 metros abaixo do nível do mar."
Santa Sofia,Turquia,"Santa Sofia está localizada em Istambul, na Turquia, e foi construída em 537 d.C. Ela funcionou como basílica, mesquita e atualmente é uma mesquita-museu."
Meteorito que causou maior cratera,África do Sul,O meteorito que causou a maior cratera preservada da Terra caiu na África do Sul. A Cratera de Vredefort tem cerca de 300 km de diâmetro e se formou há 2 bilhões de anos.
Liga Hanseática,1101 a 1700,A Liga Hanseática foi uma aliança comercial ativa entre aproximadamente 1100 e 1700. Ela reuniu mais de 200 cidades da Europa do Norte.
Maior área florestal,Rússia,"A Rússia possui a maior área florestal do mundo, com cerca de 8,1 milhões de km². Isso representa aproximadamente 20% das florestas globais."
Canal mais visitado,Kiel (Alemanha),"O Canal de Kiel, na Alemanha, é um dos canais artificiais mais movimentados do mundo. Ele recebe mais de 30 mil embarcações por ano."
Maior ave viva,Ávestruz na África,"A maior ave viva é o avestruz, nativo da África. Ele pode atingir até 2,7 metros de altura e pesar mais de 150 kg."
Alcatraz,Mar dos EUA,"Alcatraz é uma ilha localizada na Baía de São Francisco, nos Estados Unidos. Ficou famosa por abrigar uma prisão federal entre 1934 e 1963."
Primeiros Jogos Olímpicos Modernos,1896 e 0 mulheres,"Os primeiros Jogos Olímpicos Modernos ocorreram em 1896, em Atenas. Participaram cerca de 241 atletas, todos homens."
Maior recife de coral,Austrália,"O maior recife de coral do mundo é a Grande Barreira de Corais, na Austrália. Ela possui cerca de 2.300 km de extensão."
Tomate,Astecas e Incas,"O tomate foi domesticado por povos mesoamericanos, como astecas e incas. Seu cultivo ocorreu entre 500 a.C. e 700 d.C."
Kilimanjaro,Tanzânia,"O Monte Kilimanjaro, na Tanzânia, tem 5.895 metros de altitude. É a montanha mais alta da África."
Ilha de Jeju,Coreia do Sul,"A Ilha de Jeju, na Coreia do Sul, possui origem vulcânica. Sua área é de aproximadamente 1.850 km²."
País com mais parques nacionais,Austrália,A Austrália é o país com maior número de parques nacionais. São mais de 600 áreas protegidas oficialmente.
Xadrez,Pérsia,O xadrez teve origem na Pérsia por volta do século VI. O jogo era chamado de “shatranj”.
Corrente do Golfo,Mares e oceanos do norte,A Corrente do Golfo é uma corrente oceânica quente que atravessa o Atlântico Norte. Ela transporta cerca de 30 milhões de m³ de água por segundo.
Forte Vermelho,Índia,"O Forte Vermelho, na Índia, foi construído em 1648 durante o Império Mogol. Ele possui muralhas com até 33 metros de altura."
Povos esquimós,Norte do Globo,"Os povos esquimós habitam regiões do extremo norte do globo. Eles vivem em áreas do Alasca, Canadá, Groenlândia e Sibéria."
Palácio de Inverno,Rússia,"O Palácio de Inverno, na Rússia, foi concluído em 1764. Ele possui mais de 1.000 cômodos."
Ilha de Santa Helena,Atlântico Sul e Mediterrâneo,"A Ilha de Santa Helena está localizada no Atlântico Sul, a cerca de 1.950 km da África. Ela é conhecida por ter sido o local de exílio de Napoleão Bonaparte."
Mar Morto,"Israel, Palestina e Jordânia","O Mar Morto faz fronteira com Israel, Palestina e Jordânia. Ele está a cerca de 430 metros abaixo do nível do mar."
Kiwi(animal),Nova Zelândia,O kiwi é uma ave não voadora endêmica da Nova Zelândia. Ele pode pesar até 3 kg e tornou-se símbolo nacional do país.
Serengueti,Tanzânia,"O Parque Nacional do Serengueti, na Tanzânia, possui cerca de 14.750 km². É famoso pela migração anual de mais de 1,5 milhão de gnus."
Maior base espacial,Cazaquistão,"A maior base espacial do mundo é Baikonur, no Cazaquistão. Ela foi inaugurada em 1955 e ainda é usada para lançamentos russos."
Odisseia,"Turquia, Itália e Egito","A Odisseia, atribuída a Homero, descreve viagens pelo Mediterrâneo oriental. Os locais citados correspondem a regiões da atual Turquia, Itália e Egito."
Svalvard,Oceano Ártico,"Svalbard é um arquipélago localizado no Oceano Ártico, pertencente à Noruega. Fica a apenas 1.000 km do Polo Norte."
Língua mais falada,Mandarim,O mandarim é a língua mais falada do mundo em número de falantes nativos. São mais de 900 milhões de pessoas.
Gingko,China,O ginkgo biloba é originário da China e existe há mais de 200 milhões de anos. É considerado um “fóssil vivo”.
Ilha de Páscoa,Oceano Pacífico,"A Ilha de Páscoa está no Oceano Pacífico, a cerca de 3.700 km do Chile. É conhecida por seus cerca de 900 moais."
Maior mar mediterrâneao,Indonésia,"O maior mar mediterrâneo do mundo é o Mar de Banda, na Indonésia. Ele é cercado por ilhas e atinge profundidades superiores a 7.000 metros."
Basílica da Nossa Senhora da Paz,Costa do Marfim,"A Basílica de Nossa Senhora da Paz, na Costa do Marfim, foi inaugurada em 1989. Ela é maior que a Basílica de São Pedro, no Vaticano."
Fim do Reino Vândalo,Norte da África e Mediterrâneo,O Reino Vândalo foi derrotado em 534 d.C. após a invasão bizantina liderada por Belisário no Norte da África.
Rali Dakar 2014,América do Sul ,"O Rali Dakar de 2014 ocorreu na América do Sul. O percurso passou por Argentina, Bolívia e Chile."
Terra de Francisco José,Ártico,A Terra de Francisco José é um arquipélago russo no Oceano Ártico. Mais de 85% de sua área é coberta por gelo.
Lugar onde mais chove,Índia,"O lugar onde mais chove no mundo é Mawsynram, na Índia. A média anual ultrapassa 11.800 mm de precipitação."
Estrada nacional mais longa,Austrália,"A Estrada Nacional 1 da Austrália é a mais longa do país, com cerca de 14.500 km. Ela circunda todo o continente."
Maior ave de rapina,Himalaia,A maior ave de rapina viva é o abutre-do-himalaia. Sua envergadura pode ultrapassar 3 metros.
Maior zona úmida,Pantanal,O Pantanal é a maior zona úmida continental do planeta. Sua área chega a aproximadamente 150 mil km².
Maior Geleira,Polo Sul,"A maior geleira do mundo é a Geleira Lambert, na Antártida. Ela possui cerca de 100 km de largura e 400 km de extensão."
Ponte Carlos,República Tcheca,"A Ponte Carlos, em Praga, foi concluída em 1402. Ela possui 516 metros de comprimento e 16 arcos."
Catarata mais larga,Laos,"A catarata mais larga do mundo é Khone Phapheng, no Laos. Durante cheias, pode ultrapassar 10 km de largura."
Afluente mais comprido,Cazaquistão e Rússia,"O maior afluente em extensão é o rio Irtysh, que atravessa Cazaquistão e Rússia. Ele possui cerca de 4.248 km."
Maior parque eólico marinho,Mar do Norte,"O maior parque eólico marinho do mundo está no Mar do Norte. O complexo Hornsea ultrapassa 1,3 GW de capacidade instalada."
Djenné,Alta Guiné,"Djenné, na região da Alta Guiné, abriga a maior construção de adobe do mundo. Sua Grande Mesquita foi reconstruída em 1907."
Maior palácio,China,"O maior palácio do mundo é a Cidade Proibida, na China. Ela possui cerca de 720 mil m² e mais de 8.700 cômodos."
Capivara,América do Sul ,A capivara é o maior roedor vivo do planeta. Pode pesar até 65 kg e é nativa da América do Sul.
Segunda maior ilha,Melanésia,"A segunda maior ilha do mundo é a Nova Guiné, na Melanésia. Sua área é de aproximadamente 785 mil km²."
Batata,Império Inca,A batata foi domesticada pelo Império Inca há cerca de 8.000 anos. Existem hoje mais de 4.000 variedades.
Minarete(Torre ao lado de uma Mesquita) mais alto,Marrocos,"O minarete mais alto do mundo é o da Mesquita Hassan II, no Marrocos. Ele mede cerca de 210 metros."
Caaba,Arábia Saudita,"A Caaba, em Meca, é o local mais sagrado do Islã. A estrutura atual mede cerca de 13 metros de altura."
Terremoto de maior intensidade,Chile,"O terremoto de maior intensidade já registrado ocorreu no Chile em 1960. Ele atingiu magnitude 9,5."
Maior densidade de bilionários,Nova York,Nova York possui a maior concentração de bilionários do mundo. São mais de 110 residentes com patrimônio bilionário.
Valáquia,Sul da Europa,A Valáquia é uma região histórica situada no sul da Europa Oriental. Hoje faz parte da Romênia.
Múmia mais antiga encontrada,Itália,A múmia humana mais antiga conhecida foi encontrada nos Alpes italianos. Ötzi tem cerca de 5.300 anos.
País com maior área,Rússia,"A Rússia é o país com maior área territorial do mundo. Ela possui aproximadamente 17,1 milhões de km²."